Designator,Mid X,Mid Y,Rotation,Layer
C1,150.6,-137.05,180.0,top
C10,162.9506,-115.45,0.0,top
C11,159.0506,-112.95,180.0,top
C12,159.0006,-115.45,180.0,top
C13,171.0006,-134.95,270.0,top
C14,168.0006,-131.95,270.0,top
C15,166.0006,-131.95,270.0,top
C16,134.0,-99.0,0.0,top
C17,134.0,-105.0,0.0,top
C18,122.0,-105.0,270.0,top
C19,127.0,-125.0,180.0,top
C2,142.6,-125.05,0.0,top
C20,128.0,-113.0,0.0,top
C21,124.0,-113.0,180.0,top
C22,140.097349,-117.0,0.0,top
C23,149.097349,-117.0,0.0,top
C24,144.097349,-108.0,0.0,top
C25,133.0,-121.0,0.0,top
C26,133.0,-113.0,0.0,top
C27,126.0,-107.0,0.0,top
C28,181.0006,-123.95,90.0,top
C29,179.0006,-123.95,270.0,top
C3,138.6,-125.05,180.0,top
C30,177.0006,-123.95,270.0,top
C31,166.0006,-123.95,270.0,top
C32,178.9506,-109.95,0.0,top
C33,166.0006,-106.95,90.0,top
C34,176.0006,-106.95,90.0,top
C35,162.9506,-108.95,180.0,top
C36,163.0006,-119.95,180.0,top
C37,179.0006,-107.95,0.0,top
C38,180.0006,-120.95,0.0,top
C4,141.6,-137.05,180.0,top
C5,151.6,-125.05,0.0,top
C6,147.6,-125.05,180.0,top
C7,163.0006,-112.95,0.0,top
C8,163.0006,-110.95,0.0,top
C9,163.0506,-117.45,180.0,top
FER1,159.0006,-108.95,0.0,top
FER2,159.0006,-110.95,0.0,top
IC1,140.6,-131.05,270.0,top
IC2,149.6,-131.05,270.0,top
IC3,167.0006,-135.95,180.0,top
IC4,126.43,-99.75,90.0,top
IC5,126.0,-119.0,270.0,top
IC6,176.7471,-128.95,0.0,top
J1,165.0,-89.8,0.0,top
J2,198.4,-107.8,0.0,top
J3,188.0,-89.8,0.0,top
J4,198.4,-115.1,0.0,top
J5,197.5,-89.75,0.0,top
J6,186.6,-101.0,0.0,top
J7,176.5,-89.8,0.0,top
J8,198.4,-122.6,0.0,top
J9,202.8,-101.0,0.0,top
JP1,183.6006,-117.755,180.0,top
P1,171.0,-115.2,0.0,top
Q1,160.7206,-127.99,270.0,top
R1,178.0006,-134.95,180.0,top
R10,159.0006,-117.45,180.0,top
R11,163.0006,-134.95,270.0,top
R12,183.0006,-123.95,270.0,top
R13,170.0006,-123.95,270.0,top
R14,168.0006,-124.0375,270.0,top
R15,173.9131,-132.95,0.0,top
R16,174.0006,-134.95,0.0,top
R2,178.0006,-133.0,180.0,top
R3,169.0,-107.2,180.0,top
R4,173.0,-107.2,180.0,top
R5,159.0881,-119.95,180.0,top
R7,179.0006,-113.95,90.0,top
R8,179.0006,-117.95,90.0,top
R9,161.0006,-134.95,270.0,top
X1,126.9,-133.85,180.0,top
X2,192.512,-132.888,0.0,top
X3,165.5,-99.9,0.0,top
X4,204.8,-91.355,0.0,top
Y1,167.0006,-127.95,180.0,top
